maxRad minRad
[60.109268236002826] [32.20404552790604]
[61.339789611733536] [32.645559049195334]
[60.78250328660857] [31.075946202189222]
[62.64917471216933] [33.17208143076872]
[59.35382103067736] [30.920409512018292]
[54.516564258896985] [27.039545376108943]
[56.82051136131489] [29.218030187280938]
[58.75120706903849] [31.14718584144391]
[55.66928688074196] [29.461931266238217]
[58.495467033803514] [30.240544715926102]
[58.70228625031585] [31.411271708294787]
[56.30770556114989] [29.624731758421397]
[55.73593272918282] [29.353076092507017]
[57.327320485332855] [30.52072586953381]
[56.66648245605492] [29.64613894868315]
[56.73064561529727] [29.664465998936475]
[57.618298293979315] [29.607559155655768]
[57.333433783240906] [31.196090956341656]
[59.79797635670209] [31.885016886837548]
[62.925981479986916] [33.012011635612296]
[59.97692022782802] [31.26117683054405]
[60.75342376952659] [32.47655391063896]
[60.16290197590866] [30.840197887248006]
[55.98267625123323] [29.027285201897552]
[59.18887165817464] [31.03686296920494]
[56.58312667911609] [28.544607324760317]
[58.37054518492115] [29.697292227968067]
[58.622893947903705] [30.332867780352597]
[54.518204405340285] [28.655779759834346]
[57.17627292259019] [29.192333470807146]
[57.22718017041751] [30.204849208215126]
[59.26708037809519] [30.893509703533176]
[60.578915951516166] [31.82491021535417]
[52.87612553518156] [27.384144192649394]
[74.00708047037546] [45.005056403215555]
[61.502049145909844] [31.900636936215164]
[60.77022482121665] [31.49193443462347]
[60.75395024645773] [31.696954979612993]
[61.24750720045164] [32.5624390837628]
[64.3459570244953] [33.68217377325483]
[61.96466442144188] [31.30897672698279]
[60.36217434154482] [30.668639378251115]
[60.83727875650223] [31.900636936215164]
[60.20971445250764] [31.447573125845665]
[60.606198532604076] [30.930704523191338]
[61.337728887577214] [32.07181311262315]
[56.215134477250835] [28.92795629299536]
[60.635280419413036] [31.900636936215164]
[60.98888834653625] [32.06738823532919]
[60.1162775972265] [31.915006159133085]
[59.6318848682654] [31.200162866017504]
[61.11791007966249] [32.252952618614856]
[61.86504620046526] [32.477747215912366]
[60.67682278086805] [31.7929704566377]
[59.31731200664538] [31.176563276304204]
[59.552942348370756] [31.588738713859026]
[59.0] [31.175723300355934]
[58.86308764964376] [30.821507891766363]
[62.09143490945684] [32.32381344277924]
[61.69388397875706] [32.57477518139872]
[55.58748851782001] [29.293238757467545]
[55.625520878601705] [28.230508839846753]
[60.61242507323746] [32.28893331301222]
[59.95069683676569] [31.33018001893599]
[64.04900487064788] [32.72389778008361]
[55.053587766722266] [28.882034057266587]
[60.67772691394155] [31.82491021535417]
[61.5122938431264] [32.32473450613456]
[60.53332407921454] [31.640941230893397]
[60.32621270934688] [31.911441805812153]
[58.64664175457558] [30.22208940073339]
[58.13237352838789] [30.40819285747636]
[60.453260888164046] [31.64046402994021]
[60.75395024645773] [32.142534664593484]
[59.86425948811918] [31.000242058689313]
[61.428123294720535] [32.055329403061094]
[61.165320306413946] [32.088023843213215]
[60.50469610650235] [30.611368060009916]
[58.88168763026057] [30.749424801655735]
[59.857363261263274] [31.29640527363182]
[58.245157146102954] [30.28258805108126]
[53.32195368769845] [27.794688127912362]
[57.64530399554712] [30.120850085065744]
[58.83095233235953] [30.769695149512895]
[62.74458419191576] [32.77046039196391]
[58.35574830454031] [30.804737144968037]
[59.85086151102645] [31.712978070027216]
[60.80754513325841] [31.90172392084964]
[60.514156206380655] [31.700037350841086]
[58.809518948453004] [30.365779835848226]
[61.42516679276798] [32.45309061734092]
[58.15878314345357] [30.32029510249689]
[58.38134414472422] [30.27414986191881]
[59.951661036509314] [31.50403199585499]
[58.75231047369945] [30.78994346102104]
[61.78825336065631] [32.66364407215078]
[59.9151059729018] [31.223975416707184]
[57.49561386633186] [28.15863337187866]
[63.178546621723534] [33.10853598692208]
[58.10463789230341] [29.52637721286698]
[59.99165798340564] [31.82491021535417]
[60.95863876711739] [31.64046402994021]
[56.90245990004948] [29.53031709363669]
[61.96130281730123] [32.000499640917944]
[57.4805343843863] [29.27933286231632]
[60.77022482121665] [32.079265349276255]
[60.49494498735941] [31.82491021535417]
[58.69707987805491] [30.21540143261116]
[60.2699748398795] [31.0092150449053]
[60.6788115384997] [31.50858781273802]
[59.64196220628279] [31.33018001893599]
[59.98230703541325] [31.267231203091868]
[55.187765582459] [27.564282311546503]
[55.404462478017216] [28.07807585198429]
[60.960806696160276] [31.90302284673549]
[59.81510859025629] [31.49609861797241]
[60.60407640085654] [31.49193443462347]
[50.85327306717812] [25.72399651125888]
[60.242484269246745] [31.813530463405826]
[56.29222254419289] [29.142168209226963]
[54.4759250228948] [28.731188426986208]
[60.886403405592674] [32.223684926725255]
[52.95533841801548] [28.04087870784082]
[59.639385201178555] [30.54872061876204]
[57.00884886458049] [29.420507388347307]
[58.26456377855728] [30.408875209986256]
[60.89246641759219] [31.000242058689313]
[61.64413461203752] [32.17061833004426]
[59.34999153765745] [31.36476850842421]
[56.30978221601508] [29.59467305195231]
[59.424128851124905] [30.603986446980738]
[61.06248998137184] [29.86035633254132]
[60.47062982216186] [31.497874908033985]
[60.940052945046304] [29.518468829404576]
[61.82087735836792] [32.077133888549554]
[60.59372367394119] [32.252952618614856]
[63.54363568196238] [33.09608612090956]
[61.133305444985666] [32.108971165173074]
[56.72494114176448] [29.731831964486933]
[60.89246641759219] [31.840083108499883]
[59.34525746572298] [30.650124772232914]
[58.48925980996937] [29.62293103763464]
[62.50806399170998] [33.14965543462902]
[60.919367755712244] [31.82198265267518]
[61.439781955577985] [32.31980515339464]
[59.002136713115014] [30.950779957170226]
[61.68359392406577] [32.311050053548804]
[58.37273448383509] [30.87268509697488]
[58.9144673860851] [30.016944286290883]
[61.010304881625025] [31.98412298286233]
[60.652611417033555] [31.681102626081582]
[60.61832993923988] [32.008858690510756]
[61.63963308466784] [32.58277939530506]
[60.51279376186627] [32.19384798348096]
[60.34245630878892] [31.88478578646648]
